Zone ID,Zone Name,[81sas010043],[81sas040320],[81sas040323],[81sas040326],[81sas040329],[81sas040332],[81sas040335],[81sas040338],[81sas040341],[81sas040368],[81sas040371],[81sas040374],[81sas040377],[81sas454442],[81sas454446],[81sas464450],[81sas464451],[81sas464490],[81sas464491],[81sas484805],[81sas484808],[81sas484811],[81sas484814]
6345,KYLE AND CARRICK,112273,112273,7443,100951,321,1018,368,393,585,23,486,153,532,112273,11384,2722,150,1753,18,224,380,314,144
6346,LANARK(NOW CLYDESDALE),56608,56608,2760,52345,112,376,204,125,225,28,176,62,195,56608,5641,1451,117,883,13,130,183,86,42
6347,MONKLANDS,109862,109862,2185,105443,93,733,438,170,206,109,219,71,195,109862,11154,2420,28,1742,7,161,136,97,43
6348,MOTHERWELL,149478,149478,3445,142733,175,940,554,275,358,186,265,89,458,149478,14872,3326,20,2183,4,206,217,139,67
6349,RENFREW,205323,205323,7095,191779,348,1801,1348,505,841,104,569,230,703,205323,20568,5114,54,3882,10,430,540,325,114
6350,STRATHKELVIN,86644,86644,3945,79773,197,602,451,235,636,75,316,106,308,86644,8811,2308,22,1601,2,259,387,253,69
6451,ANGUS,91454,91454,6097,81870,293,494,216,293,620,15,334,205,1017,91454,9115,2393,281,1460,33,145,262,168,107
6452,DUNDEE CITY,177545,177545,7874,163217,335,841,507,501,1678,357,860,453,922,177545,17805,4155,55,3250,12,342,451,325,153
6453,PERTH AND KINROSS,113708,113708,9352,99657,325,727,695,443,841,38,630,355,645,113708,11455,2867,368,1951,62,231,365,267,211
6554,ORKNEY ISLANDS,18425,18425,1456,16638,46,56,23,66,51,2,40,10,37,18425,1834,495,159,272,31,35,62,31,16
6555,SHETLAND ISLANDS,22768,22768,2837,19088,137,147,67,92,137,10,90,50,113,22768,2253,656,67,365,8,37,96,21,6
6556,WESTERN ISLES ISLANDS,30713,30713,1524,28605,61,55,28,113,87,14,137,16,73,30713,3000,661,50,332,2,30,68,45,41
